tweet id,label
1556862291706101760,neutral
1556829868008132608,neutral
1556629507548844032,neutral
1555953490798825480,neutral
1557987189782446081,fact
1557968184220721154,fake
1557806805224407040,neutral
1557655786125418496,fact
1557646709450211328,neutral
1557576681627459584,neutral
1558770142309384192,neutral
1558472811055910913,fake
1558400857175113728,neutral
1558382239523786752,neutral
1558275283647610882,neutral
1558188063070773251,neutral
1558163877971599363,neutral
1558071267001077760,neutral
1559206981503778817,neutral
1559204853901049857,neutral
1560019487461703687,neutral
1560014286860259336,neutral
1559969334923075585,neutral
1559945996473335811,neutral
1559944070943875078,neutral
1559904480849698816,neutral
1559871455332110336,neutral
1559674998436028421,neutral
1559623246433206279,neutral
1561006001683419137,neutral
1560558912897748992,neutral
1560555622411681792,neutral
1560553531114852353,neutral
1560518087329415168,fact
1560377233746829312,neutral
1560322121364082689,neutral
1560261748262703105,neutral
1560223056970321921,neutral
1562645450355642369,neutral
1562478108363870210,neutral
1562117129595404288,neutral
1562028037692162050,fact
1561730391513481221,neutral
1561679638094569472,fact
1561592036448505857,fact
1561416036976660485,neutral
1561191293778382851,fact
1564656941456056322,fact
1564421613390536705,neutral
1563982399008038912,neutral
1563574934898544642,fact
1563240764716433410,neutral
1563126645019783168,neutral
1566505022753591299,fake
1566344291311665152,neutral
1565748033207373827,fact
1565277695449206785,fact
1533807024861061123,neutral
1557374680138407936,neutral
1557256733214531585,neutral
1546531395153035265,fake
1507786195446734848,neutral
1505951814809796614,neutral
1504357280153841667,neutral
1504354744768339970,neutral
1503791031183101953,fake
1511560508008284160,neutral
1511459068367486982,neutral
1509814399657295904,neutral
1508725033161703433,fact
1517042079687495680,neutral
1515212768135241728,neutral
1513646233851674634,neutral
1513539967603163140,fake
1522755958501478401,neutral
1520713361079554049,neutral
1519657892281995266,fake
1519375724930547712,fake
1519353292404449291,fact
1519281351089868802,neutral
1525379765875757056,neutral
1559195712042188800,fact
1559108007522353153,neutral
1556876562506588160,neutral
1556333407017340928,neutral
1556330300661194757,neutral
1556319522092720128,neutral
1556318755533332481,neutral
1556263071974244352,fact
1556147354130124803,neutral
1556043433885712384,fact
1556017431512059904,neutral
1556004528041885697,neutral
1557705988236517381,fact
1557704987043561474,neutral
1557411282709614597,neutral
1558872615573413888,neutral
1558574344988655617,neutral
1558485376045617153,neutral
1558446877028368389,neutral
1558444080346157059,neutral
1558421951550574593,neutral
1558412675239092226,neutral
1558400210166054913,neutral
1558399227939753984,neutral
1558399013925388288,neutral
1558398112791764997,neutral
1558383504148373504,neutral
1558383366004678656,fake
1558383144469929984,fact
1558379999564107777,neutral
1558358018680651776,fake
1558351714385887233,fake
1558326288955641856,neutral
1558321834562502657,neutral
1558301787592990721,neutral
1558200638147858433,neutral
1558187062989299718,fake
1558164666420969472,neutral
1558153335273918468,neutral
1558140593842298884,neutral
1558137461062115330,neutral
1558096888431349765,neutral
1558095798176464896,neutral
1558087183738748930,fake
1558081659391590403,neutral
1558077909440647173,neutral
1558075994937991170,fact
1558069712034078720,neutral
1559207171560275971,neutral
1559203324217499648,fake
1559167016149344257,neutral
1559236797531426816,neutral
1559236775247331337,neutral
1559236435785523201,neutral
1559236079974227968,neutral
1559234953602220034,neutral
1559233707730505733,neutral
1559233171845255169,neutral
1559232251161939972,neutral
1559230980820549632,fact
1559230556310831106,neutral
1560201893602893824,neutral
1560197518515998721,neutral
1560195599068168192,neutral
1560180172770447361,neutral
1560178917901754368,neutral
1560148920860295170,fact
1560134644607160320,neutral
1560122746033537024,neutral
1560122041789030401,fake
1560111024493236224,neutral
1560058425966559239,neutral
1560034573563600896,neutral
1560018395927568386,neutral
1559997822262444032,neutral
1559992296443191296,neutral
1559984987574861825,neutral
1559980106013081601,neutral
1559979339952840706,neutral
1559974048267902977,neutral
1559972572661424134,neutral
1559968021069938688,neutral
1559965278326382594,neutral
1559962797844430848,neutral
1559960225205174277,neutral
1559957953658195968,neutral
1559957419664490500,neutral
1559952261392072706,neutral
1559950834678611969,neutral
1559950280317444097,neutral
1559945644290236416,neutral
1559942243359793154,neutral
1559941687958437889,neutral
1559937143660810247,neutral
1559936124965076992,fake
1559932240666271746,neutral
1559918750165569539,neutral
1559915349071519744,neutral
1559913939345068033,fake
1559905890983190528,fake
1559905039900180480,fake
1559899833518923780,fact
1559862930576900096,neutral
1559856352893206529,neutral
1559852887634747394,fact
1559821484478332928,neutral
1559819688506527749,neutral
1559809930718224387,neutral
1559803995664879617,neutral
1559802545459154944,neutral
1559799311654944768,neutral
1559790908304138240,neutral
1559785651490488323,neutral
1559770521826377728,neutral
1559769707074539520,neutral
1559689842497306624,neutral
1559680346249170947,fake
1559673977219465218,neutral
1559637061614854144,neutral
1559633870970142723,neutral
1559633652505608196,neutral
1559625487240028160,neutral
1559623168968499201,neutral
1559618541564878851,neutral
1559615190869676037,neutral
1559608729548603394,neutral
1559606763917348864,neutral
1559606037157756930,neutral
1559604149158924288,neutral
1559591296238604290,neutral
1561002315389497345,neutral
1560977329823817728,neutral
1560973112895840257,neutral
1560961171376726016,fake
1560960698741624832,neutral
1560954411794440192,neutral
1560946287943507968,neutral
1560944325890084865,fake
1560943813237133312,neutral
1560940028733411328,neutral
1560938700711903236,neutral
1560938529458372609,neutral
1560937921645101057,neutral
1560933838964113411,neutral
1560932333766819841,fake
1560918118784012288,neutral
1560916879333822464,neutral
